Count,Threads,Time parallel,Time sequential
100000,1,32,2429
200000,1,18,8278
300000,1,20,19013
400000,1,30,33372
500000,1,36,51032
600000,1,62,89101
700000,1,22,100902
800000,1,81,140709
900000,1,80,169975
1000000,1,37,214886
100000,2,971,2021
200000,2,4014,8048
300000,2,9070,18106
400000,2,16250,32749
500000,2,27182,51966
600000,2,37279,82048
700000,2,53698,124635
800000,2,67244,133478
900000,2,82336,177848
1000000,2,102758,213973
